annee,boite,carburant,departement,kilometrage,prix,site,titre,ville
2018,,,78,38774,23490,lacentrale,MERCEDES CLA SHOOTING BRAKE (2) SHOOTING BRAKE 200 D 8CV INSPIRATION 7G-DCT,
2019,,,66,21250,35490,lacentrale,MERCEDES CLA SHOOTING BRAKE (2) SHOOTING BRAKE 220 D 9CV FASCINATION 7G-DCT,
2019,,,74,44000,54900,lacentrale,MERCEDES CLA 2 SHOOTING BRAKE AMG II SHOOTING BRAKE 35 AMG 4MATIC 7G-DCT,
2018,,,66,20700,33690,lacentrale,MERCEDES CLA (2) 220 D FASCINATION 7G-DCT,
2020,,,55,21517,31490,lacentrale,MERCEDES CLA 2 II 200 D 7CV PROGRESSIVE LINE DCT8,
2018,,,94,36900,34900,lacentrale,MERCEDES CLA (2) 250 FASCINATION 4MATIC 7G-DCT,
2019,,,61,10900,61900,lacentrale,MERCEDES CLA AMG (2) 45 AMG 380 27CV 4MATIC 7G-DCT,
2019,,,35,46545,30990,lacentrale,MERCEDES CLA (2) 220 D 9CV FASCINATION 7G-DCT,
2019,,,55,28599,22990,lacentrale,MERCEDES CLA SHOOTING BRAKE (2) SHOOTING BRAKE 180 INSPIRATION,
2017,,,73,61969,23450,lacentrale,MERCEDES CLA (2) 180 D SENSATION,
2017,,,38,92751,26850,lacentrale,MERCEDES CLA SHOOTING BRAKE (2) SHOOTING BRAKE 220 D LAUNCH EDITION 4MATIC 7G-DCT,
2018,,,95,43007,26990,lacentrale,MERCEDES CLA (2) 180 D BUSINESS EDITION 7G-DCT,
2021,,,94,9500,42990,lacentrale,MERCEDES CLA 2 SHOOTING BRAKE II SHOOTING BRAKE 200 D 8CV AMG LINE 8G-DCT,
2020,,,38,17000,36450,lacentrale,MERCEDES CLA 2 SHOOTING BRAKE II SHOOTING BRAKE 180 AMG LINE 7G-DCT,
2019,,,38,25000,34900,lacentrale,MERCEDES CLA 2 II 180 D AMG LINE 7G-DCT,
2021,,,94,6500,40900,lacentrale,MERCEDES CLA 2 II 200 D 7CV AMG LINE 8G-DCT,
2019,,,38,10800,29450,lacentrale,MERCEDES CLA SHOOTING BRAKE (2) SHOOTING BRAKE 200 9CV SENSATION 7G-DCT,
2020,,,75,21815,34280,lacentrale,MERCEDES CLA 2 II 180 PROGRESSIVE LINE 7G-DCT,
2017,,,84,65100,26990,lacentrale,MERCEDES CLA SHOOTING BRAKE (2) SHOOTING BRAKE 180 D BUSINESS EXECUTIVE 7G-DCT,
2020,,,38,25936,32950,lacentrale,MERCEDES CLA 2 SHOOTING BRAKE II SHOOTING BRAKE 180 D AMG LINE,
2019,,,84,21147,29990,lacentrale,MERCEDES CLA SHOOTING BRAKE (2) SHOOTING BRAKE 200 D BUSINESS EDITION 7G-DCT,
